"","farmtype","hhsize","hhelectric","hhhdocc1","fplotarea1","yearsuse1","farmsalev","s1p1c1area","s1p1c1qharv","s1p1c1sold","pc1","extc","adm0","adm1","incfarm","incnfarm"
"1607","Small","4-6","Yes","Farmer",0.2080000043,"0-5",30000,"80-100",1000,1000,"4","2","egypt","Lower Egypt",2000,"0-0"
"1608","Small","1-4","Yes","Farmer",0.2080000043,"20-30",30000,"80-100",1500,1050,"54","1","egypt","Lower Egypt",1500,"0.1000000015-0.5"
"1609","Small","6-7","Yes","Farmer",0.3829999864,"30-202",55000,"80-100",1240,1240,"4","1","egypt","Lower Egypt",5000,"0-0"
"1610","Small","6-7","Yes","Farmer",0.4160000086,"20-30",80000,"80-100",2250,0,"54","2","egypt","Lower Egypt",5500,"0-0.1000000015"
"1611","Small","4-6","Yes","Farmer",0.8330000043,"20-30",160000,"80-100",4500,2700,"54","1","egypt","Lower Egypt",5000,"0-0"
"1612","Small","6-7","Yes","Farmer",0.4160000086,"5-10",176000,"35.20999908-50",2250,0,"54","1","egypt","Lower Egypt",5000,"0.1000000015-0.5"
"1614","Large","7-8","Yes","Farmer",1.25,"30-202",480000,"35.20999908-50",60000,0,"9","1","egypt","Lower Egypt",16000,"0-0"
"1615","Small","1-4","Yes","Farmer",0.1379999965,"10-20",26000,"60-80",5000,5000,"9","2","egypt","Lower Egypt",2800,"0.5-5"
"1616","Medium","6-7","Yes","Farmer",1.669999957,"30-202",350000,"60-80",60000,60000,"9","2","egypt","Lower Egypt",17000,"0-0.1000000015"
"1618","Small","6-7","Yes","Farmer",0.8330000043,"20-30",175000,"60-80",4400,3500,"26","2","egypt","Lower Egypt",9650,"0-0"
"1620","Small","6-7","Yes","Farmer",1.25,"30-202",210000,"20-35.20999908",1950,1050,"54","1","egypt","Lower Egypt",10000,"0-0"
"1621","Small","1-4","Yes","Farmer",0.4160000086,"30-202",220000,"35.20999908-50",18000,18000,"9","2","egypt","Lower Egypt",9887,"0-0"
"1622","Small","1-4","Yes","Farmer",0.8330000043,"30-202",160000,"80-100",36000,0,"9","2","egypt","Lower Egypt",15886,"0.1000000015-0.5"
"1624","Small","6-7","Yes","Farmer",1.25,"30-202",2e+05,"20-35.20999908",2250,1650,"54","1","egypt","Lower Egypt",10692,"0-0"
"1625","Small","7-8","Yes","Farmer",0.4160000086,"30-202",150000,"20-35.20999908",1200,500,"26","2","egypt","Lower Egypt",18888,"0-0"
"1626","Large","7-8","Yes","Farmer",0.8330000043,"30-202",9e+05,"20-35.20999908",1610,810,"26","2","egypt","Lower Egypt",64629,"0-0.1000000015"
"1627","Medium","7-8","Yes","Farmer",1.457999945,"5-10",0,"35.20999908-50",4500,3600,"26","2","egypt","Lower Egypt",24106,"0.1000000015-0.5"
"1628","Small","1-4","Yes","Farmer",0.2630000114,"20-30",120000,"20-35.20999908",11000,0,"48","1","egypt","Midd Egypt",10645,"0-0"
"1629","Small","7-8","Yes","Farmer",0.8330000043,"10-20",150000,"35.20999908-50",52000,40000,"54","1","egypt","Midd Egypt",26723,"0-0"
"1630","Medium","1-4","Yes","Farmer",1.25,"10-20",350000,"20-35.20999908",52000,32000,"9","1","egypt","Midd Egypt",26343,"0-0"
"1631","Small","4-6","Yes","Farmer",0.25,"20-30",150000,"20-35.20999908",235,175,"4","1","egypt","Midd Egypt",1204,"0-0"
"1632","Small","7-8","Yes","Farmer",0.8669999838,"0-5",68000,"35.20999908-50",30000,0,"9","1","egypt","Midd Egypt",3358,"0-0"
"1634","Small","6-7","Yes","Farmer",0.174999997,"20-30",20000,"100-100",8000,0,"9","1","egypt","Midd Egypt",6399,"0-0"
"1635","Small","6-7","Yes","Farmer",0.8330000043,"0-5",60000,"100-100",50000,50000,"56","1","egypt","Midd Egypt",5428,"0-0"
"1636","Small","1-4","Yes","Farmer",0.2080000043,"30-202",80000,"35.20999908-50",1500,1200,"54","1","egypt","Midd Egypt",2289,"0-0"
"1637","Small","1-4","Yes","Farmer",1.25,"0-5",120000,"20-35.20999908",25000,25000,"9","1","egypt","Midd Egypt",13230,"0-0"
"1638","Small","6-7","Yes","Farmer",0.5210000277,"10-20",150000,"50-60",3900,3900,"54","1","egypt","Midd Egypt",10464,"0.1000000015-0.5"
"1639","Small","6-7","Yes","Farmer",0.1379999965,"5-10",24000,"100-100",7000,0,"9","2","egypt","Midd Egypt",1056,"0-0"
"1640","Small","4-6","Yes","Farmer",0.625,"20-30",110000,"35.20999908-50",4950,4200,"54","1","egypt","Midd Egypt",15220,"0-0"
"1641","Small","4-6","Yes","Farmer",0.7289999723,"5-10",60000,"100-100",3750,3750,"54","1","egypt","Midd Egypt",7068,"0.5-5"
"1642","Small","6-7","Yes","Farmer",0.625,"20-30",150000,"20-35.20999908",25000,15000,"9","1","egypt","Midd Egypt",15061,"0-0"
"1643","Small","6-7","Yes","Farmer",0.5210000277,"10-20",75000,"20-35.20999908",7000,0,"9","1","egypt","Midd Egypt",8819,"0.5-5"
"1644","Small","4-6","Yes","Farmer",0.3129999936,"20-30",5400,"100-100",620,465,"4","1","egypt","Midd Egypt",7067,"0-0"
"1645","Medium","6-7","Yes","Farmer",1.25,"10-20",350000,"35.20999908-50",9750,9000,"54","1","egypt","Midd Egypt",42892,"0-0"
"1646","Medium","1-4","Yes","Farmer",1.25,"10-20",42000,"20-35.20999908",6000,4500,"54","1","egypt","Midd Egypt",40389,"0-0"
"1647","Small","6-7","Yes","Farmer",0.5207999945,"10-20",79000,"20-35.20999908",8000,0,"54","1","egypt","Midd Egypt",8600,"0.5-5"
"1648","Small","1-4","Yes","Farmer",0.5207999945,"20-30",60000,"0-20",10000,0,"9","2","egypt","Midd Egypt",8975,"0.1000000015-0.5"
"1650","Small","1-4","Yes","Farmer",0.7292000055,"10-20",80000,"0-20",25000,15000,"54","1","egypt","Midd Egypt",23269,"0-0"
"1651","Small","6-7","Yes","Farmer",0.2416999936,"20-30",60000,"35.20999908-50",12000,0,"9","1","egypt","Midd Egypt",4240,"0.1000000015-0.5"
"1652","Small","6-7","Yes","Farmer",0.3291999996,"10-20",65000,"20-35.20999908",9000,0,"9","1","egypt","Midd Egypt",6247,"0.5-5"
"1653","Small","4-6","Yes","Farmer",0.6958000064,"0-5",240000,"20-35.20999908",2700,2550,"54","1","egypt","Midd Egypt",19831,"0.1000000015-0.5"
"1654","Small","1-4","Yes","Farmer",0.4160000086,"20-30",65000,"100-100",2700,450,"54","1","egypt","Midd Egypt",4266,"0.1000000015-0.5"
"1655","Small","7-8","Yes","Farmer",0.4160000086,"20-30",60000,"100-100",3000,2400,"54","1","egypt","Midd Egypt",6500,"0-0"
"1656","Small","7-8","Yes","Farmer",0.625,"10-20",250000,"20-35.20999908",2250,2250,"4","1","egypt","Midd Egypt",22594,"0.1000000015-0.5"
"1657","Medium","7-8","Yes","Farmer",0.8330000043,"20-30",240000,"20-35.20999908",3000,2250,"54","1","egypt","Midd Egypt",16288,"0-0"
"1658","Small","7-8","Yes","Farmer",0.625,"5-10",140000,"50-60",4500,3750,"54","1","egypt","Midd Egypt",5919,"0-0"
"1659","Small","4-6","Yes","Farmer",0.4160000086,"20-30",95000,"20-35.20999908",1350,750,"54","1","egypt","Midd Egypt",6674,"0.1000000015-0.5"
"1660","Small","4-6","Yes","Farmer",0.4160000086,"10-20",1e+05,"60-80",4050,3300,"54","1","egypt","Midd Egypt",6535,"0-0"
"1661","Small","6-7","Yes","Farmer",0.4160000086,"10-20",60000,"35.20999908-50",1200,750,"54","1","egypt","Midd Egypt",1710,"0-0"
"1662","Small","7-8","Yes","Farmer",0.625,"20-30",90000,"20-35.20999908",1500,1500,"54","1","egypt","Midd Egypt",589,"0-0"
"1663","Medium","1-4","Yes","Farmer",2.917000055,"0-5",450000,"80-100",21000,20550,"54","1","egypt","Midd Egypt",54030,"0-0"
"1664","Small","4-6","Yes","Farmer",1.25,"20-30",3e+05,"0-20",3000,3000,"54","1","egypt","Midd Egypt",12595,"0-0"
"1665","Medium","7-8","Yes","Farmer",2.135999918,"20-30",295000,"100-100",7750,7595,"4","1","egypt","Midd Egypt",19730,"0-0"
"1666","Small","7-8","Yes","Farmer",0.625,"5-10",1e+05,"35.20999908-50",620,465,"4","1","egypt","Midd Egypt",1752,"0.5-5"
"1667","Small","6-7","Yes","Farmer",0.4160000086,"20-30",1e+05,"35.20999908-50",1000,1000,"56","1","egypt","Midd Egypt",10881,"0-0"
"1669","Small","6-7","Yes","Farmer",0.3129999936,"30-202",50000,"100-100",930,930,"4","1","egypt","Midd Egypt",8295,"0-0"
"1670","Small","6-7","Yes","Farmer",0.2080000043,"20-30",36000,"100-100",5000,4800,"53","1","egypt","Midd Egypt",10257,"0-0.1000000015"
"1671","Small","6-7","Yes","Farmer",0.4160000086,"30-202",30000,"100-100",3300,3000,"54","1","egypt","Midd Egypt",16518,"0.1000000015-0.5"
"1672","Small","6-7","Yes","Farmer",0.275000006,"30-202",6600,"100-100",1800,1500,"54","1","egypt","Midd Egypt",5111,"0.1000000015-0.5"
"1673","Small","4-6","Yes","Farmer",0.3449999988,"30-202",60000,"35.20999908-50",250,250,"54","1","egypt","Lower Egypt",6409,"0.1000000015-0.5"
"1674","Small","1-4","Yes","Farmer",0.3810000122,"20-30",60000,"35.20999908-50",350,350,"54","1","egypt","Lower Egypt",12300,"0-0"
"1675","Small","4-6","Yes","Farmer",0.4160000086,"0-5",720000,"20-35.20999908",1750,1750,"54","1","egypt","Lower Egypt",14050,"0-0"
"1676","Small","1-4","Yes","Farmer",0.625,"30-202",108000,"60-80",3000,2400,"54","1","egypt","Lower Egypt",6870,"0-0.1000000015"
"1677","Small","6-7","Yes","Farmer",0.7710000277,"0-5",125000,"35.20999908-50",20000,20000,"9","1","egypt","Lower Egypt",11050,"0-0"
"1678","Small","1-4","Yes","Farmer",0.3129999936,"5-10",51000,"100-100",2400,1650,"54","1","egypt","Lower Egypt",9881,"0.1000000015-0.5"
"1679","Small","4-6","Yes","Farmer",0.4160000086,"5-10",120000,"60-80",3300,2550,"54","1","egypt","Lower Egypt",10300,"0-0"
"1680","Small","6-7","Yes","Farmer",0.4160000086,"5-10",128000,"60-80",3150,1650,"54","1","egypt","Lower Egypt",14279,"0.1000000015-0.5"
"1682","Small","1-4","Yes","Farmer",0.4160000086,"20-30",93000,"35.20999908-50",1650,1200,"54","1","egypt","Lower Egypt",15120,"0.5-5"
"1683","Small","4-6","Yes","Farmer",0.3540000021,"5-10",90000,"35.20999908-50",1500,750,"54","1","egypt","Lower Egypt",15150,"0.5-5"
"1684","Small","8-48","Yes","Farmer",0.3670000136,"5-10",210000,"20-35.20999908",1500,1050,"54","1","egypt","Lower Egypt",9429,"0.1000000015-0.5"
"1685","Medium","6-7","Yes","Farmer",1.095999956,"20-30",5e+05,"0-20",3000,2300,"54","1","egypt","Lower Egypt",24529,"0-0"
"1686","Medium","6-7","Yes","Farmer",0.5210000277,"5-10",250000,"35.20999908-50",3750,2850,"54","1","egypt","Lower Egypt",8435,"0-0"
"1687","Medium","6-7","Yes","Farmer",1.042000055,"10-20",323000,"35.20999908-50",5400,4500,"54","1","egypt","Lower Egypt",29153,"0-0"
"1688","Small","4-6","Yes","Farmer",0.4160000086,"5-10",144000,"35.20999908-50",3300,2550,"54","1","egypt","Lower Egypt",5200,"0-0"
"1689","Large","6-7","Yes","Farmer",2.5,"20-30",1080000,"20-35.20999908",15000,8000,"54","1","egypt","Lower Egypt",25600,"0-0"
"1690","Small","4-6","Yes","Farmer",0.2080000043,"10-20",108000,"20-35.20999908",500,500,"54","1","egypt","Lower Egypt",10683,"0-0"
"1691","Medium","6-7","Yes","Farmer",0.5920000076,"20-30",288000,"35.20999908-50",4500,2250,"54","1","egypt","Lower Egypt",6000,"0-0"
"1692","Small","4-6","Yes","Farmer",0.4160000086,"10-20",141000,"20-35.20999908",1500,900,"54","1","egypt","Lower Egypt",14923,"0-0"
"1693","Small","1-4","Yes","Farmer",0.4160000086,"30-202",133000,"60-80",3600,2250,"54","1","egypt","Lower Egypt",40874,"0-0"
"1694","Small","4-6","Yes","Farmer",0.2080000043,"30-202",63000,"35.20999908-50",1800,1200,"54","1","egypt","Lower Egypt",3700,"0-0"
"1695","Small","1-4","Yes","Farmer",0.1379999965,"30-202",20000,"35.20999908-50",1050,600,"54","1","egypt","Lower Egypt",6880,"0-0"
"1696","Small","6-7","Yes","Farmer",0.4160000086,"30-202",72000,"35.20999908-50",1800,1350,"54","1","egypt","Lower Egypt",10586,"0.5-5"
"1697","Small","6-7","Yes","Farmer",0.2630000114,"30-202",147000,"35.20999908-50",1500,600,"54","1","egypt","Lower Egypt",11950,"0.5-5"
"1698","Small","6-7","Yes","Farmer",0.5210000277,"10-20",182000,"50-60",3750,2700,"54","1","egypt","Lower Egypt",13098,"0-0"
"1699","Small","1-4","Yes","Farmer",0.4160000086,"0-5",84000,"60-80",2850,2100,"54","1","egypt","Lower Egypt",21565,"0.1000000015-0.5"
"1700","Small","6-7","Yes","Farmer",0.8330000043,"20-30",180000,"60-80",5400,4350,"54","1","egypt","Lower Egypt",13241,"0.1000000015-0.5"
"1701","Small","6-7","Yes","Farmer",0.4160000086,"20-30",144000,"35.20999908-50",3600,2700,"54","1","egypt","Lower Egypt",15440,"0-0"
"1702","Small","4-6","Yes","Farmer",0.625,"30-202",108000,"35.20999908-50",3000,750,"54","1","egypt","Lower Egypt",5323,"0-0"
"1703","Small","6-7","Yes","Farmer",0.8330000043,"30-202",144000,"35.20999908-50",3450,2400,"54","1","egypt","Lower Egypt",15090,"0-0"
"1704","Small","1-4","Yes","Farmer",0.625,"30-202",36000,"20-35.20999908",1800,1350,"54","1","egypt","Lower Egypt",11415,"0-0"
"1705","Large","1-4","Yes","Farmer",1.25,"20-30",420000,"50-60",9000,8250,"54","1","egypt","Lower Egypt",16900,"0-0"
"1706","Small","1-4","Yes","Farmer",0.2080000043,"20-30",36000,"100-100",1500,900,"54","1","egypt","Lower Egypt",3000,"0-0"
"1707","Small","4-6","Yes","Farmer",0.1209999993,"0-5",150000,"100-100",900,375,"54","1","egypt","Lower Egypt",3125,"0.5-5"
"1708","Small","4-6","Yes","Farmer",0.625,"30-202",108000,"20-35.20999908",1800,1200,"54","1","egypt","Lower Egypt",8990,"0-0"
"1709","Small","1-4","Yes","Farmer",0.2080000043,"20-30",75000,"35.20999908-50",1500,1050,"54","1","egypt","Lower Egypt",6180,"0-0"
"1710","Large","8-48","Yes","Farmer",2.917000055,"5-10",5e+05,"60-80",15000,12750,"54","1","egypt","Lower Egypt",42650,"0-0"
"1711","Small","4-6","Yes","Farmer",0.4160000086,"30-202",108000,"60-80",3600,3000,"54","1","egypt","Lower Egypt",7725,"0-0"
"1712","Small","1-4","Yes","Farmer",0.2080000043,"30-202",36000,"100-100",1800,1500,"54","1","egypt","Lower Egypt",8100,"0.5-5"
"1713","Small","6-7","Yes","Farmer",1.25,"20-30",216000,"35.20999908-50",3750,3450,"54","1","egypt","Lower Egypt",9700,"0.1000000015-0.5"
"1714","Small","1-4","Yes","Farmer",0.4160000086,"30-202",126000,"50-60",3600,3300,"54","1","egypt","Lower Egypt",7440,"0-0"
"1715","Large","6-7","Yes","Farmer",2.5,"30-202",936000,"50-60",20250,18750,"54","1","egypt","Lower Egypt",45000,"0.1000000015-0.5"
"1716","Small","4-6","Yes","Farmer",0.2080000043,"20-30",75000,"35.20999908-50",1200,600,"54","1","egypt","Lower Egypt",10890,"0.1000000015-0.5"
"1717","Small","1-4","Yes","Farmer",0.224999994,"10-20",59000,"50-60",900,450,"54","1","egypt","Lower Egypt",8321,"0.1000000015-0.5"
"1719","Small","1-4","Yes","Farmer",0.4160000086,"10-20",170000,"50-60",2750,2000,"54","1","egypt","Lower Egypt",12959,"0.1000000015-0.5"
"1720","Small","1-4","Yes","Farmer",0.8330000043,"10-20",155000,"100-100",5250,4750,"54","1","egypt","Lower Egypt",11131,"0.1000000015-0.5"
"1721","Small","1-4","Yes","Farmer",0.55400002,"5-10",110000,"100-100",1550,1475,"4","2","egypt","Lower Egypt",7541,"0.1000000015-0.5"
"1722","Small","1-4","Yes","Farmer",0.8330000043,"10-20",270000,"60-80",5700,5000,"54","1","egypt","Lower Egypt",14389,"0.1000000015-0.5"
"1723","Small","1-4","Yes","Farmer",0.3129999936,"5-10",45000,"100-100",1950,1600,"54","2","egypt","Lower Egypt",7530,"0.5-5"
"1724","Small","4-6","Yes","Farmer",0.5210000277,"10-20",80000,"100-100",37500,37500,"9","1","egypt","Lower Egypt",11439,"0.1000000015-0.5"
"1727","Small","1-4","Yes","Farmer",0.69599998,"20-30",205000,"100-100",15000,15000,"9","1","egypt","Lower Egypt",15412,"0.1000000015-0.5"
"1730","Small","1-4","Yes","Farmer",0.4499999881,"0-5",124800,"100-100",7000,7000,"9","2","egypt","Lower Egypt",7833,"0.1000000015-0.5"
"1731","Small","1-4","Yes","Farmer",1.042000055,"10-20",630000,"100-100",20000,20000,"9","1","egypt","Lower Egypt",82420,"0.1000000015-0.5"
"1732","Small","1-4","Yes","Farmer",0.8330000043,"0-5",224160,"100-100",7000,7000,"9","1","egypt","Lower Egypt",16835,"0.1000000015-0.5"
"1733","Small","4-6","Yes","Farmer",0.3129999936,"10-20",60000,"100-100",18000,18000,"9","1","egypt","Lower Egypt",9754,"0.1000000015-0.5"
"1734","Small","1-4","Yes","Farmer",0.4880000055,"10-20",96000,"100-100",45000,45000,"9","2","egypt","Lower Egypt",8434,"0.5-5"
"1735","Small","4-6","Yes","Farmer",0.7630000114,"5-10",220000,"100-100",15000,15000,"9","1","egypt","Lower Egypt",11750,"0.1000000015-0.5"
"1736","Medium","7-8","Yes","Farmer",1.25,"30-202",605000,"50-60",1e+05,1e+05,"9","1","egypt","Lower Egypt",26734,"0-0"
"1737","Small","7-8","Yes","Farmer",0.625,"20-30",169200,"35.20999908-50",11000,11000,"9","2","egypt","Lower Egypt",12084,"0.1000000015-0.5"
"1738","Small","1-4","Yes","Farmer",0.3829999864,"20-30",110000,"100-100",2900,2000,"54","1","egypt","Lower Egypt",6971,"0.5-5"
"1739","Small","4-6","Yes","Farmer",0.4160000086,"20-30",90000,"100-100",2800,2000,"54","2","egypt","Lower Egypt",8202,"0.1000000015-0.5"
"1740","Small","6-7","Yes","Farmer",0.2080000043,"10-20",50000,"100-100",8000,8000,"9","2","egypt","Lower Egypt",5220,"0.5-5"
"1741","Small","1-4","Yes","Farmer",0.2080000043,"30-202",80000,"100-100",2550,2200,"54","2","egypt","Lower Egypt",5971,"0.5-5"
"1742","Small","1-4","Yes","Farmer",0.3459999859,"10-20",78000,"100-100",6000,6000,"9","1","egypt","Lower Egypt",9988,"0.1000000015-0.5"
"1743","Small","1-4","Yes","Farmer",1.042000055,"20-30",307200,"60-80",18000,18000,"9","1","egypt","Lower Egypt",8888,"0-0"
"1744","Small","4-6","Yes","Farmer",0.8330000043,"20-30",146400,"100-100",5890,5000,"54","1","egypt","Lower Egypt",9133,"0.5-5"
"1745","Small","4-6","Yes","Farmer",0.8330000043,"10-20",129600,"100-100",15000,15000,"9","1","egypt","Lower Egypt",10120,"0.1000000015-0.5"
"1746","Small","1-4","Yes","Farmer",0.4160000086,"30-202",62400,"100-100",7000,7000,"9","2","egypt","Lower Egypt",13289,"0.1000000015-0.5"
"1747","Small","1-4","Yes","Farmer",0.4160000086,"5-10",118800,"100-100",7000,7000,"9","2","egypt","Lower Egypt",9564,"0.1000000015-0.5"
"1748","Small","1-4","Yes","Farmer",0.625,"10-20",77400,"100-100",3850,3000,"26","1","egypt","Lower Egypt",8038,"0.1000000015-0.5"
"1749","Small","1-4","Yes","Farmer",0.55400002,"10-20",79680,"100-100",1650,1550,"4","2","egypt","Lower Egypt",10080,"0.1000000015-0.5"
"1750","Small","6-7","Yes","Farmer",0.8330000043,"20-30",129600,"100-100",80000,80000,"9","1","egypt","Lower Egypt",6678,"0-0"
"1751","Small","1-4","Yes","Farmer",0.3129999936,"5-10",52200,"100-100",2475,2000,"54","2","egypt","Lower Egypt",5461,"0.5-5"
"1752","Small","1-4","Yes","Farmer",0.5379999876,"5-10",118800,"35.20999908-50",4000,4000,"9","2","egypt","Lower Egypt",11513,"0.5-5"
"1753","Small","1-4","Yes","Farmer",0.5210000277,"5-10",153000,"100-100",9000,6000,"9","2","egypt","Lower Egypt",16853,"0.1000000015-0.5"
"1754","Small","1-4","Yes","Farmer",0.7289999723,"10-20",193200,"100-100",7000,7000,"9","1","egypt","Lower Egypt",19033,"0.1000000015-0.5"
"1755","Small","1-4","Yes","Farmer",0.5210000277,"10-20",345600,"100-100",10000,10000,"9","1","egypt","Lower Egypt",27875,"0.1000000015-0.5"
"1756","Small","6-7","Yes","Farmer",0.8330000043,"5-10",259200,"100-100",15000,8000,"9","1","egypt","Lower Egypt",18473,"0.1000000015-0.5"
"1757","Small","1-4","Yes","Farmer",0.7289999723,"30-202",100800,"100-100",3400,2800,"54","2","egypt","Lower Egypt",5675,"0.5-5"
"1758","Small","1-4","Yes","Farmer",0.3829999864,"5-10",64900,"100-100",2500,2000,"54","1","egypt","Lower Egypt",5531,"0.1000000015-0.5"
"1759","Small","1-4","Yes","Farmer",0.3129999936,"0-5",49500,"100-100",1950,1700,"54","2","egypt","Lower Egypt",4432,"0.1000000015-0.5"
"1760","Small","1-4","Yes","Farmer",0.8330000043,"30-202",153600,"100-100",6200,5500,"54","2","egypt","Lower Egypt",3853,"0-0"
"1761","Small","6-7","Yes","Farmer",0.8330000043,"10-20",2e+05,"50-60",64000,64000,"9","1","egypt","Lower Egypt",28199,"0.1000000015-0.5"
"1762","Small","4-6","Yes","Farmer",0.3829999864,"10-20",50600,"100-100",2780,2300,"54","2","egypt","Lower Egypt",6283,"0.1000000015-0.5"
"1763","Small","7-8","Yes","Farmer",1.25,"30-202",750000,"100-100",120000,70000,"26","2","egypt","Midd Egypt",15000,"0.1000000015-0.5"
"1764","Small","1-4","Yes","Farmer",0.4167000055,"20-30",75000,"60-80",3300,1800,"54","1","egypt","Midd Egypt",18134,"0.1000000015-0.5"
"1765","Small","7-8","Yes","Farmer",1.25,"30-202",750000,"20-35.20999908",3000,2700,"54","1","egypt","Midd Egypt",10000,"0-0"
"1766","Small","7-8","Yes","Farmer",0.4167000055,"20-30",44000,"100-100",1800,1000,"54","1","egypt","Midd Egypt",15000,"0.1000000015-0.5"
"1768","Small","7-8","Yes","Farmer",0.4167000055,"30-202",48000,"100-100",3600,3450,"54","1","egypt","Midd Egypt",7000,"0.1000000015-0.5"
"1769","Small","6-7","Yes","Farmer",1.25,"0-5",0,"100-100",5000,4000,"4","1","egypt","Midd Egypt",15000,"0-0"
"1770","Small","4-6","Yes","Farmer",0.2082999945,"20-30",25000,"100-100",1500,750,"54","1","egypt","Midd Egypt",13000,"0.1000000015-0.5"
"1771","Small","6-7","Yes","Farmer",0.8332999945,"20-30",94000,"60-80",4500,3000,"54","1","egypt","Midd Egypt",5000,"0-0"
"1772","Small","7-8","Yes","Farmer",0.4167000055,"20-30",95000,"35.20999908-50",3000,2000,"54","1","egypt","Midd Egypt",4650,"0-0"
"1773","Small","6-7","Yes","Farmer",0.8332999945,"20-30",49000,"35.20999908-50",10000,10000,"9","1","egypt","Midd Egypt",5000,"0-0"
"1775","Large","8-48","Yes","Farmer",2.916699886,"30-202",3e+06,"35.20999908-50",180000,1e+05,"26","1","egypt","Midd Egypt",180000,"0.5-5"
"1776","Small","4-6","Yes","Farmer",0.4167000055,"30-202",79000,"20-35.20999908",20000,10000,"26","1","egypt","Midd Egypt",20000,"0.1000000015-0.5"
"1777","Small","6-7","Yes","Farmer",0.4167000055,"30-202",95000,"35.20999908-50",9800,9500,"26","1","egypt","Midd Egypt",19830,"0-0"
"1778","Small","6-7","Yes","Farmer",0.2082999945,"30-202",45000,"35.20999908-50",10000,0,"9","1","egypt","Midd Egypt",12350,"0-0"
"1779","Small","4-6","Yes","Farmer",0.4708000124,"30-202",85000,"60-80",30000,0,"9","1","egypt","Midd Egypt",3807,"0-0"
"1780","Small","6-7","Yes","Farmer",1.25,"20-30",135000,"100-100",3100,1550,"4","1","egypt","Midd Egypt",12000,"0-0"
"1782","Small","6-7","Yes","Farmer",0.8332999945,"20-30",98000,"100-100",60000,30000,"26","1","egypt","Midd Egypt",10000,"0.1000000015-0.5"
"1783","Small","7-8","Yes","Farmer",0.2416999936,"0-5",25000,"100-100",1650,750,"54","1","egypt","Midd Egypt",2000,"0.5-5"
"1784","Large","7-8","Yes","Farmer",3.333300114,"30-202",2550000,"100-100",28800,27300,"54","1","egypt","Midd Egypt",21000,"0-0"
"1785","Small","7-8","Yes","Farmer",0.4167000055,"20-30",576000,"35.20999908-50",3750,2700,"4","1","egypt","Midd Egypt",9000,"0-0"
"1786","Small","8-48","Yes","Farmer",0.4167000055,"30-202",150000,"100-100",3600,3450,"54","1","egypt","Midd Egypt",8751,"0.1000000015-0.5"
"1787","Small","6-7","Yes","Farmer",0.2082999945,"30-202",216000,"20-35.20999908",5000,0,"9","1","egypt","Midd Egypt",11600,"0.1000000015-0.5"
"1788","Small","4-6","Yes","Farmer",0.2791999876,"30-202",33000,"100-100",2400,2400,"54","1","egypt","Midd Egypt",3000,"0.5-5"
"1789","Small","1-4","Yes","Farmer",0.4167000055,"5-10",48000,"35.20999908-50",10000,5000,"9","1","egypt","Midd Egypt",868,"0-0"
"1790","Large","6-7","Yes","Farmer",2.5,"30-202",288000,"0-20",1800,1500,"54","1","egypt","Midd Egypt",3144,"0-0"
"1791","Small","6-7","Yes","Farmer",0.8332999945,"10-20",96000,"35.20999908-50",20000,15000,"9","1","egypt","Midd Egypt",3934,"0-0"
"1792","Large","8-48","Yes","Farmer",4.166699886,"30-202",480000,"20-35.20999908",60000,40000,"9","1","egypt","Midd Egypt",14150,"0-0"
"1793","Small","1-4","Yes","Farmer",0.4167000055,"5-10",48000,"100-100",2250,1800,"54","1","egypt","Midd Egypt",2088,"0-0"
"1794","Small","1-4","Yes","Farmer",1.25,"5-10",144000,"20-35.20999908",20000,15000,"9","1","egypt","Midd Egypt",13550,"0-0"
"1795","Large","8-48","Yes","Farmer",6.25,"20-30",1440000,"20-35.20999908",21000,15750,"54","1","egypt","Midd Egypt",30000,"0-0"
"1796","Medium","4-6","Yes","Farmer",1.666700006,"0-5",192000,"20-35.20999908",2550,2250,"54","1","egypt","Midd Egypt",8650,"0-0"
"1797","Medium","7-8","Yes","Farmer",0.4167000055,"30-202",49000,"20-35.20999908",40000,35000,"9","1","egypt","Midd Egypt",9391,"0-0"
"1798","Large","4-6","Yes","Farmer",2.5,"20-30",72000,"20-35.20999908",3750,3000,"54","1","egypt","Midd Egypt",2998,"0-0"
"1799","Small","4-6","Yes","Farmer",0.4167000055,"20-30",50000,"100-100",3000,0,"54","1","egypt","Midd Egypt",7351,"0-0"
"1800","Small","4-6","Yes","Farmer",0.625,"20-30",108000,"60-80",8160,8160,"38","1","egypt","Midd Egypt",12734,"0.1000000015-0.5"
"1801","Small","1-4","Yes","Farmer",0.5207999945,"10-20",180000,"20-35.20999908",10000,10000,"38","1","egypt","Midd Egypt",16580,"0.1000000015-0.5"
"1802","Small","1-4","Yes","Farmer",0.3458000124,"10-20",136000,"50-60",12000,11000,"53","1","egypt","Midd Egypt",1286,"0-0"
"1803","Small","4-6","Yes","Farmer",0.625,"20-30",216000,"20-35.20999908",9800,9800,"38","1","egypt","Midd Egypt",15171,"0.1000000015-0.5"
"1805","Small","4-6","Yes","Farmer",0.4167000055,"20-30",4800,"100-100",3000,0,"54","1","egypt","Midd Egypt",500,"0-0"
"1807","Small","4-6","Yes","Farmer",0.2082999945,"10-20",84000,"35.20999908-50",8100,8000,"53","1","egypt","Midd Egypt",3005,"0-0"
