farmtype,hhsize,hhelectric,hhhdocc1,fplotarea1,plotunits,yearsuse1,farmsalev,s1p1c1area,s1p1c1qharv,s1p1c1cons,s1p1c1lives,s1p1c1lost,s1p1c1sold,pc1,extc,adm0,adm1,incfarm,incnfarm,"""cleanData2$adm0"""
3,13,0,1,2,HA,12,300000,25,170,400,0,20,150,30,2,ethiopia,somali,13600,0,cleanData2$adm0
2,6,0,1,6.5,HA,6,40000,30,1000,150,0,50,750,44,2,ethiopia,somali,3875,0,cleanData2$adm0
2,7,0,1,1,HA,6,650000,100,1900,400,0,50,1400,26,2,ethiopia,somali,3000,0,cleanData2$adm0
1,8,0,1,3,HA,40,50000,35,1100,300,0,60,700,26,2,ethiopia,somali,2900,0,cleanData2$adm0
1,6,1,1,1.214069963,HA,1,8000000,25,1080,280,0,0,800,6,1,ghana,Ashanti,100000,60,cleanData2$adm0
1,3,1,1,1.214069963,HA,2,5200000,30,3500,1820,0,0,1680,6,2,ghana,ashanti,1500000,8,cleanData2$adm0
1,5,1,1,2.428139925,HA,5,20000000,12,2000,100,100,50,1750,26,2,ghana,ashanti,2500000,28,cleanData2$adm0
1,3,1,1,1.214069963,HA,6,50000000,40,243,27,0,0,216,34,1,ghana,ashanti,4000000,8,cleanData2$adm0
1,6,2,1,1.011724949,HA,1,650000,25,1080,1080,0,50,150,6,1,ghana,ashanti,0,8,cleanData2$adm0
2,4,1,1,1.214069963,HA,5,5000000,20,400,100,0,100,200,6,1,ghana,Ashanti,1600000,5,cleanData2$adm0
1,8,2,1,6.07035017,HA,16,200000000,10,366,120,0,26,220,6,2,ghana,Ashanti,2600000,7,cleanData2$adm0
1,8,1,1,0.8093799949,HA,2,750000,20,300,95,0,73,132,6,2,ghana,Ashanti,350000,8,cleanData2$adm0
1,8,1,6,2.428139925,HA,3,5000000,15,540,180,0,25,335,6,2,ghana,Ashanti,650000,80,cleanData2$adm0
1,5,1,1,1.416414976,HA,9,60000000,10,450,150,0,50,250,6,1,ghana,Ashanti,1300000,7,cleanData2$adm0
1,7,1,1,0.8093799949,HA,8,20000000,20,400,150,0,15,235,6,2,ghana,Ashanti,1100000,5,cleanData2$adm0
1,5,1,1,0.6070349813,HA,1,5000000,20,200,100,0,20,80,6,2,ghana,Ashanti,200000,8,cleanData2$adm0
2,8,1,1,4.046899796,HA,15,4000000,30,8000,100,0,200,700,29,2,ghana,Ashanti,1125000,8,cleanData2$adm0
2,8,1,1,4.046899796,HA,20,5000000,50,1100,100,0,0,1000,39,1,ghana,Ashanti,1350000,8,cleanData2$adm0
2,4,1,1,3.237519979,HA,4,3800000,25,800,100,0,100,600,10,2,ghana,Ashanti,1618750,8,cleanData2$adm0
2,7,1,1,2.832829952,HA,15,650000,30,8000,100,0,200,700,29,2,ghana,Ashanti,1125000,8,cleanData2$adm0
1,5,1,1,1.61875999,HA,7,450000000,20,1365,1092,0,1500,273,6,1,ghana,Ashanti,2000000,15,cleanData2$adm0
1,5,1,1,0.8093799949,HA,2,1000000,30,2366,1456,0,180,910,6,2,ghana,ashanti,6000000,8,cleanData2$adm0
1,5,2,1,1.214069963,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,ashanti,800000,8,cleanData2$adm0
1,7,1,1,2.832829952,HA,6,10000000,50,375,20,0,25,230,6,1,ghana,ashanti,1500000,8,cleanData2$adm0
1,5,1,1,0.6070349813,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,ashanti,400000,8,cleanData2$adm0
1,5,1,1,5.058625221,HA,18,650000,40,2000,100,100,50,1750,26,1,ghana,ashanti,1500000,8,cleanData2$adm0
1,3,1,1,0.6070349813,HA,4,600000,100,1600,200,0,200,1200,26,2,ghana,Ashanti,1000000,10,cleanData2$adm0
1,4,1,1,0.4046899974,HA,4,4000000,100,1500,400,0,3000,1200,26,1,ghana,Ashanti,400000,10,cleanData2$adm0
1,4,1,1,0.6070349813,HA,15,300000,100,1600,200,0,200,1300,26,2,ghana,Ashanti,500000,20,cleanData2$adm0
2,4,1,1,0.8093799949,HA,15,1000000,100,1600,200,0,200,1400,26,2,ghana,Ashanti,500000,20,cleanData2$adm0
1,3,1,1,0.8093799949,HA,6,1000000,100,2000,400,0,200,1800,26,2,ghana,Ashanti,450000,10,cleanData2$adm0
3,5,2,1,12.14070034,HA,60,100000000,100,2412.5,400,0,600,1812.5,10,1,ghana,Ashanti,3000000,0,cleanData2$adm0
1,5,1,1,0.4046899974,HA,1,30000000,100,2400,20,0,40,2400,56,1,ghana,Ashanti,5000000,0,cleanData2$adm0
1,3,1,1,0.4046899974,HA,3,9000000,100,2000,15,0,5,2000,56,1,ghana,Ashanti,3000000,10,cleanData2$adm0
1,5,1,1,0.4046899974,HA,2,4000000,100,2000,100,0,10,2000,26,2,ghana,Ashanti,200000,0,cleanData2$adm0
1,4,1,1,1.61875999,HA,15,11000000,70,3360,168,0,20,3192,26,2,ghana,Ashanti,2000000,0,cleanData2$adm0
1,5,1,1,2.023449898,HA,5,5000000,40,2400,400,0,200,2200,37,2,ghana,Ashanti,3000000,0,cleanData2$adm0
1,4,2,6,1.011724949,HA,12,10000000,100,1800,40,0,20,17940,36,2,ghana,Ashanti,2000000,70,cleanData2$adm0
1,5,1,1,0.4046899974,HA,7,15000000,100,800,50,0,10,740,12,2,ghana,Ashanti,700000,50,cleanData2$adm0
1,1,1,1,2.023449898,HA,6,22000000,100,5000,400,0,20,4980,26,2,ghana,Ashanti,3000000,0,cleanData2$adm0
1,3,2,1,4.046899796,HA,2,5200000,100,4500,250,0,125,3750,55,2,ghana,brong-ahafo,10296000,0,cleanData2$adm0
1,5,1,1,0.8093799949,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,brong-ahafo,400000,8,cleanData2$adm0
1,5,1,1,2.023449898,HA,5,650000,60,2000,100,100,50,1750,55,2,ghana,brong-ahafo,8000000,0,cleanData2$adm0
1,2,2,1,0.8093799949,HA,1,2000000,20,400,150,0,0,250,6,1,ghana,brong-ahafo,500000,0,cleanData2$adm0
1,4,1,1,0.4046899974,HA,22,15000000,100,400,55,0,5,340,26,1,ghana,brong-ahafo,1000000,0,cleanData2$adm0
1,8,2,1,0.6070349813,HA,1,4000000,100,246,82,0,41,164,55,2,ghana,brong-ahafo,2000000,8,cleanData2$adm0
1,7,1,1,2.832829952,HA,6,10000000,57,700,50,0,100,600,6,1,ghana,brong-ahafo,8000000,8,cleanData2$adm0
1,7,1,6,3.642210007,HA,30,25000000,30,8000,100,0,200,700,29,1,ghana,brong-ahafo,1125000,8,cleanData2$adm0
1,8,2,1,3.237519979,HA,15,16000000,100,9600,580,0,20,9000,26,1,ghana,brong-ahafo,9583333,8,cleanData2$adm0
1,6,1,1,12.14070034,HA,35,200000000,30,8000,100,0,200,700,29,1,ghana,brong-ahafo,1125000,8,cleanData2$adm0
2,10,1,1,1.214069963,HA,4,200000,100,3120,720,0,0,2400,22,1,ghana,brong-ahafo,25000000,8,cleanData2$adm0
1,5,1,1,8.093799591,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,500000,50,cleanData2$adm0
1,5,1,2,1.011724949,HA,8,15000000,100,1000,400,0,20,580,26,1,ghana,brong-ahafo,480000,8,cleanData2$adm0
3,6,2,1,1.214069963,HA,2,500000000,50,4200,1200,240,120,2640,6,1,ghana,brong-ahafo,26000000,40,cleanData2$adm0
1,6,2,1,3.237519979,HA,11,22000000,100,9600,480,0,50,9070,26,1,ghana,brong-ahafo,9754000,0,cleanData2$adm0
2,8,1,1,5.260970116,HA,26,450000000,100,1968,600,400,120,1448,26,1,ghana,brong-ahafo,8000000,8,cleanData2$adm0
1,7,2,1,3.237519979,HA,6,650000,100,9600,480,0,40,9000,26,1,ghana,brong-ahafo,7000000,0,cleanData2$adm0
1,7,2,1,2.832829952,HA,6,650000,100,6620,480,20,30,6000,26,1,ghana,brong-ahafo,7000000,60,cleanData2$adm0
3,6,1,1,3.237519979,HA,2,100000000,100,4056,1300,0,260,2496,26,1,ghana,brong-ahafo,3500000,0,cleanData2$adm0
1,8,2,1,2.428139925,HA,5,18000000,100,7200,360,0,30,6760,26,1,ghana,brong-ahafo,8700000,0,cleanData2$adm0
1,7,2,1,3.237519979,HA,6,650000,100,7680,480,20,30,7150,26,1,ghana,brong-ahafo,6089000,0,cleanData2$adm0
1,8,1,1,4.046899796,HA,10,10000000,30,1729,455,0,0,637,6,2,ghana,brong-ahafo,5360000,0,cleanData2$adm0
1,6,1,1,2.023449898,HA,7,10000000,100,6000,480,0,40,5480,26,2,ghana,brong-ahafo,4520000,0,cleanData2$adm0
1,13,2,1,2.832829952,HA,2,54000000,28.5,1440,240,0,0,1200,6,1,ghana,brong-ahafo,40000000,8,cleanData2$adm0
3,19,1,1,2.023449898,HA,40,900000000,100,8000,300,0,100,7600,26,1,ghana,brong-ahafo,5000000,8,cleanData2$adm0
1,4,1,1,0.8093799949,HA,7,8000000,60,1200,200,0,50,950,10,2,ghana,brong-ahafo,4500000,8,cleanData2$adm0
1,13,1,1,2.023449898,HA,2,650000,30,8100,2100,0,300,5700,26,1,ghana,brong-ahafo,6500000,30,cleanData2$adm0
3,7,1,1,3.237519979,HA,6,650000,50,375,20,0,25,230,55,1,ghana,brong-ahafo,5000000,0,cleanData2$adm0
1,9,1,1,1.61875999,HA,2,50000000,50,6000,1800,0,300,1200,55,1,ghana,brong-ahafo,5000000,60,cleanData2$adm0
1,4,2,1,2.023449898,HA,23,6000000,100,5300,1200,0,300,1800,55,2,ghana,brong-ahafo,4000000,0,cleanData2$adm0
1,12,1,1,1.214069963,HA,2,7000000,60,9000,1500,0,500,8000,55,2,ghana,brong-ahafo,0,8,cleanData2$adm0
1,4,2,1,0.4046899974,HA,4,1000000,100,500,200,0,300,300,6,2,ghana,brong-ahafo,600000,10,cleanData2$adm0
1,7,1,1,2.023449898,HA,6,10000000,50,10000,1000,0,1000,8000,55,1,ghana,brong-ahafo,3000000,5,cleanData2$adm0
1,12,1,1,2.428139925,HA,2,7000000,40,11300,1000,0,300,10000,55,2,ghana,brong-ahafo,5000000,0,cleanData2$adm0
1,4,1,1,0.8093799949,HA,22,5000000,60,1500,450,0,150,900,26,1,ghana,brong-ahafo,1000000,0,cleanData2$adm0
1,3,1,1,1.214069963,HA,6,50000000,66.30000305,2400,25,0,50,2300,4,2,ghana,brong-ahafo,3000000,0,cleanData2$adm0
1,6,1,1,0.4046899974,HA,5,18000000,100,1230,150,0,300,780,39,2,ghana,brong-ahafo,5000000,30,cleanData2$adm0
1,9,1,1,1.214069963,HA,2,4000000,40,1125,1000,0,125,0,22,1,ghana,brong-ahafo,3000000,40,cleanData2$adm0
1,10,1,1,6.475039959,HA,6,650000,40,30000,18000,0,1000,11000,6,1,ghana,brong-ahafo,25000000,45,cleanData2$adm0
1,4,1,1,0.8093799949,HA,2,4000000,100,600,300,0,20,540,22,2,ghana,brong-ahafo,700000,20,cleanData2$adm0
1,10,1,1,1.214069963,HA,2,4000000,70,10000,4000,0,50,2500,26,2,ghana,brong-ahafo,4000000,30,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,3000000,4,cleanData2$adm0
1,8,2,1,1.214069963,HA,2,15000000,100,12150,1500,800,750,2400,55,2,ghana,brong-ahafo,5000000,10,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,3000000,4,cleanData2$adm0
1,4,1,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,3000000,4,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,3000000,4,cleanData2$adm0
1,4,2,1,0.8093799949,HA,2,10000000,80,1000,100,0,100,800,10,2,ghana,brong-ahafo,2000000,30,cleanData2$adm0
1,3,1,6,1.214069963,HA,10,25000000,20,200,400,0,0,200,6,1,ghana,brong-ahafo,2000000,10,cleanData2$adm0
2,8,2,1,2.023449898,HA,2,15000000,40,6000,1000,0,250,4750,55,2,ghana,brong-ahafo,1800000,60,cleanData2$adm0
1,7,1,1,2.428139925,HA,6,50000000,50,10400,52,0,156,9360,53,1,ghana,brong-ahafo,3000000,5,cleanData2$adm0
3,8,1,1,2.428139925,HA,9,100000000,60,1000,50,100,50,800,26,1,ghana,brong-ahafo,3000000,30,cleanData2$adm0
1,4,1,6,0.8093799949,HA,7,8000000,60,1200,200,0,50,950,10,2,ghana,brong-ahafo,200000,8,cleanData2$adm0
1,7,2,1,3.642210007,HA,8,10000000,30,650,195,195,65,195,26,1,ghana,brong-ahafo,2000000,20,cleanData2$adm0
1,7,2,1,1.214069963,HA,6,650000,50,900,190,60,60,590,26,1,ghana,bborng-ahafo,1000000,10,cleanData2$adm0
1,3,2,1,0.8093799949,HA,6,50000000,30,819,364,0,0,455,6,2,ghana,brong-ahafo,1000000,40,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,1000000,80,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,1000000,8,cleanData2$adm0
1,5,2,1,0.6070349813,HA,4,12000000,60,2295,67.5,0,135,2160,53,1,ghana,brong-ahafo,1000000,8,cleanData2$adm0
2,8,2,6,2.428139925,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,brong-ahafo,1000000,60,cleanData2$adm0
1,6,1,1,2.832829952,HA,5,18000000,40,4050,67.5,0,135,3847.5,26,2,ghana,brong-ahafo,0,0,cleanData2$adm0
1,5,2,1,2.023449898,HA,5,20000000,60,2000,100,100,50,1750,26,1,ghana,brong-ahafo,1000000,80,cleanData2$adm0
3,8,1,1,4.046899796,HA,9,100000000,30,3280,390,0,260,2630,26,1,ghana,brong-ahafo,2000000,60,cleanData2$adm0
1,3,1,1,0.4856280088,HA,2,5200000,30,1365,364,0,91,910,26,1,ghana,brong-ahafo,2000000,30,cleanData2$adm0
3,8,1,1,3.237519979,HA,9,100000000,50,1500,390,0,200,910,6,2,ghana,brong-ahafo,2000000,60,cleanData2$adm0
1,5,1,6,1.61875999,HA,10,8000000,80,2165,65,0,20,2080,26,2,ghana,brong-ahafo,2000000,60,cleanData2$adm0
1,7,2,1,0.8093799949,HA,6,650000,50,375,20,0,25,230,12,1,ghana,brong-ahafo,1000000,70,cleanData2$adm0
3,6,1,1,6.07035017,HA,2,100000000,80,5460,1300,0,260,3900,26,1,ghana,brong-ahafo,2000000,45,cleanData2$adm0
1,5,1,6,3.642210007,HA,10,8000000,60,187.5,400,0,0,187.5,6,2,ghana,central,1000000,8,cleanData2$adm0
1,15,1,3,0.8093799949,HA,2,4000000,40,5000,100,0,500,4400,26,2,ghana,central,800000,60,cleanData2$adm0
1,9,1,6,3.642210007,HA,10,8000000,35,728,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,5,1,6,3.642210007,HA,10,8000000,50,546,91,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,13,1,6,3.642210007,HA,10,8000000,40,728,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,9,1,6,3.642210007,HA,10,8000000,33,728,273,0,0,364,6,2,ghana,central,1000000,8,cleanData2$adm0
1,8,2,1,0.4046899974,HA,15,800000,50,546,455,0,0,91,6,2,ghana,central,500000,8,cleanData2$adm0
2,8,2,6,3.642210007,HA,10,8000000,40,819,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,7,2,1,0.4046899974,HA,4,3000000,40,400,100,0,0,300,26,2,ghana,central,100000,20,cleanData2$adm0
1,6,1,1,2.832829952,HA,2,2500000,50,9100,1365,0,0,7735,6,2,ghana,central,100000,40,cleanData2$adm0
1,4,2,1,0.8093799949,HA,5,8000000,30,300,100,0,0,200,26,2,ghana,central,200000,0,cleanData2$adm0
1,5,1,6,0.8093799949,HA,5,800000,50,450,150,0,0,300,26,2,ghana,central,100000,40,cleanData2$adm0
1,4,1,1,3.642210007,HA,10,25000000,5,910,364,0,0,546,6,2,ghana,central,400000,90,cleanData2$adm0
2,15,2,1,2.023449898,HA,20,300000000,20,770,0,0,0,770,10,2,ghana,central,800000,8,cleanData2$adm0
1,9,2,6,2.832829952,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,5,2,1,1.214069963,HA,2,2000000,33,162,0,0,0,162,34,2,ghana,central,200000,0,cleanData2$adm0
1,9,2,1,1.214069963,HA,6,650000,50,3000,400,0,0,3000,6,1,ghana,central,500000,0,cleanData2$adm0
1,7,2,1,5.46331501,HA,8,10000000,50,250,0,0,0,250,10,1,ghana,central,100000,8,cleanData2$adm0
1,8,2,1,4.85627985,HA,10,10000000,30,10920,455,0,0,10465,6,2,ghana,central,100000,0,cleanData2$adm0
1,3,2,1,2.428139925,HA,6,50000000,30,4550,364,0,0,364,6,2,ghana,central,0,0,cleanData2$adm0
1,6,2,6,3.642210007,HA,10,8000000,50,440,29.5,0,0,410.5,6,2,ghana,central,1000000,8,cleanData2$adm0
1,15,1,6,3.642210007,HA,10,8000000,20,819,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
2,6,1,6,3.642210007,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,central,1000000,8,cleanData2$adm0
1,5,2,6,0.8093799949,HA,10,8000000,25,728,273,0,0,455,6,2,ghana,eastern,2000000,8,cleanData2$adm0
1,6,1,1,1.011724949,HA,5,18000000,50,600,100,0,50,450,6,2,ghana,eastern,1500000,8,cleanData2$adm0
1,7,2,1,0.6070349813,HA,6,650000,50,375,20,0,25,230,12,1,ghana,eastern,4000000,8,cleanData2$adm0
1,3,1,1,0.4046899974,HA,2,5200000,100,600,200,0,0,400,6,2,ghana,eastern,500000,8,cleanData2$adm0
1,7,2,1,0.4046899974,HA,6,10000000,50,375,20,0,25,230,12,1,ghana,eastern,1400000,8,cleanData2$adm0
1,7,1,1,1.214069963,HA,8,4500000,70,2400,100,0,24,200,26,2,ghana,eastern,1000000,8,cleanData2$adm0
1,6,1,1,1.214069963,HA,10,650000,60,600,200,0,50,15000,26,2,ghana,eastern,1800000,8,cleanData2$adm0
1,7,1,1,1.214069963,HA,8,4500000,70,2400,100,0,24,200,26,2,ghana,eastern,1000000,8,cleanData2$adm0
1,5,1,6,1.214069963,HA,10,8000000,20,728,273,0,0,455,6,2,ghana,eastern,1000000,8,cleanData2$adm0
1,3,2,1,1.133131981,HA,6,50000000,33,700,200,0,0,500,6,2,ghana,eastern,0,0,cleanData2$adm0
1,3,2,1,0.8093799949,HA,2,5200000,35,900,364,0,0,536,6,2,ghana,eastern,400000,8,cleanData2$adm0
1,3,2,6,0.8093799949,HA,10,8000000,100,956,91,0,0,865,6,2,ghana,eastern,1000000,8,cleanData2$adm0
1,1,1,10,1.61875999,HA,2,650000,100,400,227.5,0,0,172.5,6,2,ghana,eastern,0,0,cleanData2$adm0
1,1,1,10,1.214069963,HA,2,650000,100,400,227.5,0,0,172.5,6,2,ghana,eastern,0,0,cleanData2$adm0
1,3,1,1,3.237519979,HA,6,50000000,33,4550,364,0,0,364,6,2,ghana,eastern,0,10,cleanData2$adm0
1,6,1,4,0.8093799949,HA,10,650000,60,600,200,0,50,15000,26,2,ghana,eastern,0,0,cleanData2$adm0
1,5,1,6,1.214069963,HA,10,8000000,35,728,273,0,0,455,6,2,ghana,eastern,1000000,8,cleanData2$adm0
1,7,2,1,0.8093799949,HA,6,650000,50,375,20,0,25,230,12,1,ghana,eastern,3000000,5,cleanData2$adm0
1,5,1,6,0.8093799949,HA,10,8000000,20,728,273,0,0,490,6,2,ghana,eastern,1000000,8,cleanData2$adm0
1,6,1,1,2.428139925,HA,4,15000000,60,600,200,0,50,15000,26,2,ghana,eastern,3000000,8,cleanData2$adm0
1,12,2,1,0.4046899974,HA,10,100000000,25,728,273,0,0,455,6,2,ghana,eastern,15000000,8,cleanData2$adm0
1,6,2,1,4.85627985,HA,10,4000000,60,600,200,0,50,15000,26,2,ghana,eastern,100000,80,cleanData2$adm0
1,3,1,1,1.011724949,HA,2,5200000,100,800,400,0,0,800,6,2,ghana,eastern,2500000,8,cleanData2$adm0
1,4,1,1,1.821105003,HA,10,25000000,100,670,400,0,0,670,6,2,ghana,eastern,2000000,8,cleanData2$adm0
1,3,1,1,0.8093799949,HA,2,5200000,100,1000,182,0,0,818,6,2,ghana,eastern,500000,0,cleanData2$adm0
1,4,1,1,1.61875999,HA,22,5000000,100,200,200,0,0,0,26,1,ghana,eastern,800000,30,cleanData2$adm0
1,6,1,3,0.4046899974,HA,10,650000,60,600,200,0,50,350,26,2,ghana,eastern,100000,80,cleanData2$adm0
1,6,2,1,0.4046899974,HA,5,4500000,100,1144,400,0,52,1092,34,1,ghana,greater accre,5000000,2,cleanData2$adm0
1,6,2,1,0.4046899974,HA,5,4500000,100,1144,400,0,52,1092,34,1,ghana,greater accre,6000000,2,cleanData2$adm0
2,5,1,1,0.8093799949,HA,3,650000,100,3000,200,0,500,2500,30,2,ghana,greater accre,16000000,3,cleanData2$adm0
1,8,2,1,1.214069963,HA,5,4000000,100,4000,2500,0,0,1500,55,2,ghana,Northern,500000,0,cleanData2$adm0
1,12,2,1,0.4046899974,HA,25,2000000,100,400,400,0,0,0,26,2,ghana,Northern,5000000,0,cleanData2$adm0
1,18,2,1,0.8093799949,HA,15,3000000,50,400,400,0,0,0,26,1,ghana,Northern,2000000,0,cleanData2$adm0
1,7,2,1,0.8093799949,HA,15,30000000,50,500,200,0,0,300,22,2,ghana,Northern,740000,0,cleanData2$adm0
1,7,2,1,1.61875999,HA,25,1000000,50,500,200,0,0,300,22,2,ghana,Northern,500000,0,cleanData2$adm0
1,5,2,1,0.4046899974,HA,25,2000000,50,1200,400,0,0,800,22,2,ghana,Northern,800000,0,cleanData2$adm0
1,18,2,1,0.8093799949,HA,30,1000000,50,900,900,0,0,0,22,1,ghana,Northern,7000000,0,cleanData2$adm0
1,17,2,1,1.61875999,HA,30,4000000,33,1200,200,0,0,1000,22,1,ghana,Northern,2000000,0,cleanData2$adm0
1,7,2,1,0.6070349813,HA,7,5000000,100,700,100,0,0,600,22,1,ghana,Northern,2000000,0,cleanData2$adm0
1,8,2,1,1.214069963,HA,15,6000000,100,1500,1500,0,0,0,26,2,ghana,Northern,1000000,20,cleanData2$adm0
1,5,2,1,1.61875999,HA,20,4000000,100,2000,2000,0,0,0,26,2,ghana,Northern,0,8,cleanData2$adm0
1,13,2,1,2.225795031,HA,30,10000000,40,700,0,0,0,700,22,2,ghana,Northern,1000000,0,cleanData2$adm0
1,8,2,1,6.07035017,HA,5,5000000,40,1000,200,0,0,800,22,2,ghana,Northern,3000000,0,cleanData2$adm0
1,10,2,1,1.61875999,HA,40,650000,66.69999695,1400,1400,0,0,0,26,1,ghana,Northern,4000000,15,cleanData2$adm0
1,10,2,1,1.416414976,HA,5,6000000,50,1500,1300,0,0,1200,22,2,ghana,Northern,2000000,0,cleanData2$adm0
1,9,2,1,1.214069963,HA,60,4000000,100,1700,1700,0,200,0,26,1,ghana,Northern,1000000,2,cleanData2$adm0
1,6,2,1,0.8093799949,HA,25,20000000,50,400,300,0,50,0,27,2,ghana,Upper East,4500000,10,cleanData2$adm0
1,9,2,1,0.4046899974,HA,60,5000000,100,1100,700,0,150,400,27,1,ghana,Upper East,5000000,35,cleanData2$adm0
1,11,1,1,1.214069963,HA,13,11000000,66.69999695,1200,1200,0,50,0,27,1,ghana,Upper East,7000000,35,cleanData2$adm0
1,5,1,6,0.8093799949,HA,12,4000000,50,700,700,0,30,0,27,2,ghana,Upper East,3000000,65,cleanData2$adm0
1,6,1,1,0.8093799949,HA,20,3000000,50,1100,500,0,150,500,39,2,ghana,Upper East,1500000,60,cleanData2$adm0
1,7,1,1,0.4046899974,HA,25,3000000,100,500,500,0,50,0,27,2,ghana,Upper East,2000000,45,cleanData2$adm0
1,10,2,1,1.214069963,HA,20,4000000,33.29999924,850,750,0,100,0,27,2,ghana,Upper East,2500000,60,cleanData2$adm0
2,10,1,1,0.4046899974,HA,60,4000000,100,400,400,0,100,0,27,2,ghana,Upper East,3000000,30,cleanData2$adm0
2,7,2,1,1.61875999,HA,15,40000000,50,2900,1100,0,400,1800,39,1,ghana,Upper East,6000000,5,cleanData2$adm0
1,7,2,1,0.8093799949,HA,11,650000,100,2400,600,0,150,1500,39,2,ghana,Upper East,5000000,40,cleanData2$adm0
1,6,2,1,1.214069963,HA,20,650000,100,3500,100,0,130,3500,53,1,ghana,Upper East,8000000,30,cleanData2$adm0
1,5,2,1,0.8093799949,HA,20,3000000,100,1200,300,0,100,700,22,2,ghana,Upper East,4000000,25,cleanData2$adm0
1,10,2,1,0.8093799949,HA,35,4000000,100,1200,700,0,200,500,39,1,ghana,Upper East,8000000,15,cleanData2$adm0
1,5,2,5,1.214069963,HA,6,5000000,100,3000,400,0,200,2900,39,2,ghana,Upper East,5000000,60,cleanData2$adm0
1,5,1,6,0.8093799949,HA,6,650000,50,1200,200,0,100,100,39,1,ghana,Upper East,3000000,75,cleanData2$adm0
3,9,2,1,2.832829952,HA,20,60000000,100,10600,1500,0,500,10000,39,1,ghana,Upper East,7000000,10,cleanData2$adm0
1,7,1,1,1.214069963,HA,12,9000000,100,5000,400,0,300,5000,39,1,ghana,Upper East,11000000,40,cleanData2$adm0
2,6,1,3,1.61875999,HA,5,75000000,100,7200,500,0,200,6800,39,1,ghana,Upper East,12000000,20,cleanData2$adm0
2,14,1,1,0.8093799949,HA,50,50000000,100,1600,300,0,100,1300,39,1,ghana,Upper East,6000000,20,cleanData2$adm0
1,3,1,1,0.4046899974,HA,10,1000000,100,750,100,0,400,650,39,2,ghana,Upper East,400000,60,cleanData2$adm0
1,7,2,1,0.8093799949,HA,40,7000000,100,1066,82,0,82,902,22,2,ghana,Upper West,800000,15,cleanData2$adm0
1,11,2,1,1.214069963,HA,25,20000000,100,2000,300,0,0.1000000015,2000,22,2,ghana,Upper West,500000,10,cleanData2$adm0
2,7,2,1,1.61875999,HA,7,20000000,50,350,218,0,132,0,4,2,ghana,Upper West,260000,90,cleanData2$adm0
1,5,1,3,0.8093799949,HA,10,650000,60,600,200,0,50,350,26,2,ghana,volta,100000,80,cleanData2$adm0
2,13,1,12,29.54236984,HA,2,650000,56,39200,100,0,100,39000,26,1,ghana,volta,35000000,60,cleanData2$adm0
1,4,2,1,2.832829952,HA,5,8000000,57,7000,1000,0,25,5975,26,1,ghana,volta,2000000,5,cleanData2$adm0
1,3,1,6,1.61875999,HA,10,8000000,25,728,273,0,0,455,6,2,ghana,volta,1000000,8,cleanData2$adm0
1,6,1,3,3.642210007,HA,10,650000,60,400,200,0,50,150,26,2,ghana,volta,100000,80,cleanData2$adm0
1,4,2,1,0.8093799949,HA,22,5000000,100,400,55,0,5,340,26,1,ghana,volta,800000,30,cleanData2$adm0
1,7,2,1,0.8093799949,HA,6,650000,50,375,20,0,25,230,12,1,ghana,volta,3000000,5,cleanData2$adm0
2,8,1,1,29.54236984,HA,9,650000,56,39200,100,0,100,39000,26,1,ghana,volta,200000000,1,cleanData2$adm0
1,4,1,1,2.832829952,HA,12,15000000,60,1500,300,0,100,1100,26,2,ghana,volta,1000000,1,cleanData2$adm0
1,7,1,1,3.237519979,HA,15,150000000,50,700,100,0,50,550,26,2,ghana,volta,1000000,10,cleanData2$adm0
1,6,1,1,1.61875999,HA,10,5000000,72,500,100,0,0,400,26,1,ghana,volta,200000,3,cleanData2$adm0
1,5,1,1,0.8093799949,HA,10,300000000,100,3600,300,0,0,3300,28,2,ghana,volta,1200000,20,cleanData2$adm0
